.9.8.....6.74..92...1.32..7..638...9.......6...8.2..1.9.41....8....9.......2.7...,26,38,17,0,0,0,0,0,0,Easy,
.7.6.8.2.......38...4..5..6.5..21..9.1.8.7.6........5...7.......8....93...63....2,25,35,20,0,0,0,0,1,0,Expert,
..2......5.....72..61...4......156.43..62......57.8.3.......8..2.8....7.7.....562,26,41,14,0,0,0,0,0,0,Easy,
.5..1.2.779.....3....5..9.1..........7....3.23.....5..9127.6....8.19..6..6.85....,27,43,11,0,0,0,0,0,0,Easy,
.4.....632.......5.13.5.....8...6....2....84.....17...864..15.7......4..7..3...18,26,77,12,1,1,5,0,4,2,Expert,
....1........58.9.7.8..2.....3.6..1.1....92...7....8.5.85.917..91.675............,26,74,19,3,0,1,1,4,4,Expert,
..25..48..6.......9.5.4.7.....9.5.2.5...62.....71...4....7.6.......8...7.1......5,24,49,8,0,0,0,0,0,0,Easy,
..4..6385...74....6.......22.1.7.......1.4..88..........7.85..6.5.....7.13.2.....,25,45,11,2,0,0,0,0,0,Intermediate,
...96.....2.38..........32.1..2.8.3.96..3....84...7....3..2..........8.4687.4....,25,45,26,0,0,1,1,2,2,Expert,
..21..37..7...8..919.3....6...........4.61.2.82..9.....68......34.9.7..87........,26,40,14,0,0,1,0,1,0,Expert,
...2..75.6............8..6..516..87...81....2..2.7........2.98.8....3..19..7..2.6,26,44,11,0,0,0,0,0,0,Easy,
.3.12.....9..3.7.......8......2.....74.......5....3.49.15.4...33..81..2.9.4.72...,26,49,10,0,0,0,0,2,2,Expert,
43..6...8...2........4582..6.39.4.........8...94.8.7......96.....87.53.2......4..,26,39,16,0,0,0,0,0,0,Easy,
........9......32.4239..58..5..1.47.......8....8.7..1..1....2....5.3...1....9..43,25,47,9,0,0,0,0,0,0,Easy,
....2.......6..3.16..734.2...2.1...6...2..8.4.1.....7..7...8..3..41....2...9..7..,25,35,21,0,0,0,0,0,0,Easy,
..2.9..6..1....7.......4.......1.624..86...1......79.....56.2.86..1...4...7..8.5.,25,53,3,0,0,0,0,0,0,Easy,
12..69.........39....5.2.1..9.6.8.4..8..1...6.42..............4....8.52..1...6..8,25,47,9,0,0,0,0,0,0,Easy,
...9...6.49.26.51.23...17......9...........2...5....4.1.45...7.6..4.72....2......,25,48,7,0,0,2,0,1,0,Expert,
.294..83.76.3....41....8........9.1..............3..46......789.9.26.1...7..8....,25,43,13,0,0,0,0,0,0,Easy,
...16.9..63.9.......8..5.37.......21..........69...38.38...........7....975.3.8.2,25,49,7,0,0,0,0,0,0,Easy,
..6.2............298.64.71.4.1.........8..1..2..3......7.....28....89.3....76....,23,38,20,1,0,1,0,0,0,Intermediate,
3.....64748..2........6.3...2...6......8..4..9.5....7........5.2.....7896.75.....,24,41,16,0,0,0,0,0,0,Easy,
..23..9..6.1.5..........41.......2.5....3......59.2...2.381.....5.....48...4..6.2,24,46,11,0,0,0,0,0,0,Easy,
1.7.....6..68..4...92.7.8.......7.24.5...29.1.....9687..1.4.7.....1.............2,26,52,3,0,0,0,0,0,0,Easy,
972....3843.8......18.....6....716.9....3..4...1.4927..4.3.......9..........26...,27,40,14,2,0,0,0,0,0,Intermediate,
..56.98....95.2.1..1....4.......53..5...2..4...4386.2....2....56....1.....1.6...4,27,35,19,0,0,0,0,0,0,Easy,
...8...7.6........41..36.8.....6..1....3..4.......2.38.5.123....82....5.7.4.8...6,26,42,13,2,0,0,0,0,0,Intermediate,
2.8..196......6.....5......3.6.28..917..9...2.8.17.5...6.....5..3...9..7......3..,26,46,9,0,0,0,0,0,0,Easy,
.......2.....8...1.48.9...6.2....8...5.......7.915..42.91.4....2..97....4.76.8...,26,50,5,0,0,0,0,0,0,Easy,
4....3....92...8.....8........73.6.2....62.4...5..........5..86.4.2.7.3..23..69..,25,58,16,1,1,2,1,4,4,Expert,
8..2.743....3..1.......6...2.7....69.1.9..............69...382...1.2..9...87.96.4,27,43,10,0,0,0,0,1,0,Expert,
6........1.3.6.749.45..13..2...9...7..9..5.1..76.2.........32......7..64.........,25,71,3,2,1,0,0,4,4,Expert,
41...8.933....4........2..61..3..97..8......4.9..6..3.......61.........86...7.2..,24,52,21,0,0,0,0,2,2,Expert,
..162...3.43.1......2.9.17..3..........5.9...96...4...1...5.3.....2....95.....726,26,49,6,0,0,0,0,0,0,Easy,
.85....242....86..1.7.4..9..6.75...........1....4..9.5.....41..7.2.1..6....6.....,25,67,25,1,2,1,0,4,4,Expert,
4..5..7.16...1..25.....64....43.5.1..76..9.4..124...........3.7.......9....2..6..,26,42,13,2,0,0,0,0,0,Intermediate,
....75........862.8...2..795.2.4.......7......9..5.46297.....3....8.32......9....,25,42,14,0,0,0,0,0,0,Easy,
9.4..85.....3.2.......5...3....4..5....29.37....7.6...275...43......7.9..6..8.2..,26,39,16,0,0,0,0,0,0,Easy,
.98.....3....8.5.2.....684..79.6.....6...3.....52..98..36........4....257.....439,27,55,11,0,0,0,0,2,2,Expert,
32......6..4.......69...3...92.64..3.1327.9..4.....8..9...312.4..6......231.....7,29,43,13,1,1,1,1,3,2,Expert,
....76...3.95.27...8...92.......5..8.....3.29....8.53...3...9.625...8.74.......5.,27,41,12,2,0,2,0,1,0,Expert,
4.6.9.1.3....812.6.3.4....897.83.6.1..31..4.......9.........3.......7...1.7.6....,27,39,15,0,0,0,0,0,0,Easy,
..371.9...4......66...83.1...46..19...95..763.......45.51...........2...3..9.....,26,45,8,1,0,1,0,2,0,Expert,
.543.697....5..84....9..6.331.7.......9.1.......6..3..9.68......7....4....5..7...,26,36,19,2,0,2,0,0,0,Intermediate,
7..46.1.....3.........72..6.12..5...58...721......3.5862.8.......7.1..8......64..,27,43,11,0,0,0,0,0,0,Easy,
3.654.2.87..2..6.......1....78...132....1.........87......3.8..6...2...34..6.5...,26,42,21,0,0,0,0,2,2,Expert,
....6.1.2...4....7...71856.19..24....6..........9.1...27...6..9.5.17......6.5....,26,42,13,0,0,0,0,0,0,Easy,
..58.1.4.983.5...............83....1.4.915...5....4...13.5.7..8.74..8..........2.,26,36,19,0,0,0,0,0,0,Easy,
7.6.8.....2153......81.....6....4157.1.....3...7.2..46.....7.61.......24..5......,26,43,12,1,0,0,0,0,0,Intermediate,
.1...4...........6.....82..96.1.....2....5......6...345...3..8..9.84.56...2...9.1,24,35,22,0,0,0,0,0,0,Easy,
..7............4.2.1...76.9854..91....6.8....7..5.........5176...14..8....5.9...4,26,48,10,1,0,0,0,2,2,Expert,
....356...5.7.8....621......93....56.....17.8......91.9....6..1..7..3...5.18.....,26,53,2,0,0,0,0,0,0,Easy,
...5........4.19.2....7....24...6..356...3.179......4.....9..26.3.2..45...7...3..,26,67,7,0,0,4,0,2,2,Expert,
8....4.....96.2....3..8........4....54.1632..3..9.....6...1.53...3....2.92.5..8.4,27,76,5,1,0,0,0,4,4,Expert,
....5..2........3......84...324....11.9..3.5.8.7.........24.8....87..91.9...3.7..,25,56,2,0,0,0,0,2,2,Expert,
.2..3..8....6....4.58..2........1...1....8..66..4....93.....695.4..9..1.....5....,23,46,12,1,0,0,0,0,0,Intermediate,
...3.......5..68.....215....318..7......5..1........5.27.5.....9.6..3...35..97.26,26,47,8,2,0,0,0,0,0,Intermediate,
....7..8....63...1694.....3..8.....4.3....2..4......7...9..2..82...4.3.9.13......,24,38,19,0,0,0,0,0,0,Easy,
...92..4.........1......59...2....1693..5...77.........26...1..4..2.6...3.5..74..,24,38,19,0,0,0,0,0,0,Easy,
34......8..7.29..1...4.83.7.......4..6.8..1..8.961..2.23................49.7.....,25,35,21,1,0,0,0,0,0,Intermediate,
.9.281.7......4..2......86.189.7.4...7..4...86...25...4.7.....9.......1.....5....,25,40,16,0,0,0,0,0,0,Easy,
....1..72.19..4...7..8....34....18....8.26....3...7...34.....2.1.6....4...7..8...,25,52,4,1,0,0,0,0,0,Intermediate,
.16...3..3......284..........1..7.8...9.3.6..87....13....7..8..9...4......78....4,24,54,17,1,2,4,0,3,2,Expert,
..963.5..3.6..4..72..97........4...37.4..2.6.6..5...4...........8.....2.5.......8,24,43,14,1,0,0,0,0,0,Intermediate,
.1.865.....4.....7......8...75...9.1.6..91.7...2.8.64......4..5...7........258...,25,48,8,0,0,0,0,0,0,Easy,
..97........4...3..87.......6.3..8......6..4..9487..134382.1.7.......1..71.6.....,27,45,9,0,0,0,0,0,0,Easy,
..7......9....8...5284.3......3.958...4.......5..6..3..95..26...3.....9.6...4..7.,25,67,20,2,3,1,2,5,6,Expert,
.9.......1.....3.42.8.9.51.............4.18.....6....392..85....8....1..31.....6.,23,51,7,0,0,0,0,0,0,Easy,
57.96.......3..9...3.7...6...1..3....8....12.6...7.5.88....129..6....8..........7,25,48,8,0,0,0,0,0,0,Easy,
..39.....6......2...98......18..3..4.9..1.6....5..4....2..48..1.....6.3.5.1......,23,54,4,0,0,0,0,0,0,Easy,
..8.......3..6.1.....7.3...8.3..9..14.....28....14...3..29..86.........7.69.87..4,26,51,16,1,0,1,1,7,4,Expert,
...62.....1.4...5......5..7....1..4.......5.1...3...691.65.4.3..2....9..4.7.91...,25,49,7,0,0,0,0,0,0,Easy,
.....9.183.8...9.....2...4.2.....8....3.......4.3.6.....2.....389.51.2..5.4...19.,25,45,20,3,0,2,0,3,2,Expert,
3...276...7......3..9..38..9........8.4.12..9.2....43..6.........27....8....647..,25,64,15,0,0,0,0,4,6,Expert,
854..6....6.......7.1....8......845......72....245.713.4.1.....5.......13.6...5.4,27,48,16,1,0,0,1,2,2,Expert,
52..1439...1...5.......3.4.....9.72.9..7..............3......181....8953.9..2....,25,56,29,0,0,1,0,6,8,Expert,
.6.18..2...........2...6.8.1..8.3...9....235....67..9....2.7.366..3..5........7..,25,84,4,2,0,2,0,5,4,Expert,
.8..............7.23.7.48.9....834.....9.7.3..6...2..8...3....4..842.795...8.92..,28,38,15,0,1,0,2,0,0,Intermediate,
291..5..74......3..........5......1.6.4..9..5.7..1..2.7.3.5......5...6.9.6......2,24,46,11,0,0,0,0,0,0,Easy,
...53....1.....32..46....17.27......5....2...6.3.1.....1.....622.97...4...5....7.,25,46,10,0,0,0,0,0,0,Easy,
.873...........642.1......34..8..9..839.2............636.....98.9.26.7....1......,25,47,9,0,0,0,0,0,0,Easy,
.2..6..4...6.9...1.........35.4......4.81..5...1....92.8....3....51...2....284...,24,37,20,3,0,1,0,0,0,Intermediate,
897.4..5.......6.1.4.....8.2...........5..1.941.9..........1.....1..82.59.56.2...,25,37,19,0,0,0,0,0,0,Easy,
37..6..8.9....57.........9...431....63..8..17..94.7.6......4......89.6.5...1...48,28,52,1,0,0,0,0,0,0,Easy,
.5123..4......1.5.2...6...7..4...........281..1...5........47....5.73....826.....,24,52,5,0,0,0,0,0,0,Easy,
86.....4.......92.4..1.....65.4.2.38...8......8..1349...6.5....12..3....3..2.....,26,43,12,2,0,0,0,0,0,Intermediate,
.7.5.31.9.1......28..91.5.6....59....3..7.......2.86....26..3.8...83.........5...,26,54,1,0,0,0,0,0,0,Easy,
...4..1...........8...72...65....92....9....6..2...51.9...1.4.87...49.5.2...8..7.,25,42,13,2,0,3,0,1,0,Expert,
....1....3..54........3.4.15.269.7.3.71.2.6..9....1..5..3...24..9....3.........57,27,43,11,0,0,0,0,0,0,Easy,
...6....3.....59.8..8.......81.5....3.5.....9.79.63.84.6.7..3....3....7....9..1.6,26,39,15,1,0,0,0,1,0,Expert,
6.........8...5..49.5...7....31.7...5.7.3.6..............35.8...76..43.9....984.1,26,47,13,0,0,0,0,2,2,Expert,
7.5.....3.3............9.....21.......1.4592.546..31......6.2.11.9.5.3..2...1.5..,27,39,14,7,0,0,1,1,0,Expert,
.1......39..3....23.514....14...3...........75.9..8....8.......4.25.....7..9..1.8,24,53,4,0,0,0,0,0,0,Easy,
8..562..3.4..89.....37.4........538..........29.....6....63.89...8........2...47.,25,37,19,0,0,0,0,0,0,Easy,
...5...7.......2.4..4.6.3.9...6......3...8.6.8.....42..9..37.8.5...2.6.7..3......,24,29,27,0,0,0,0,1,0,Expert,
.5.96....614.25...2..8..........92..1........592.78.6........8..4.7.......76.4.1.,26,48,7,0,0,0,0,0,0,Easy,
8....3..1.2..97......5.......58....4.4...132...3.4..1997.182.........17..........,25,42,14,2,0,0,0,0,0,Intermediate,
...1..4.95.9.7.6..2..8.6....76..9..84...8...5...7....68....1...6.......4.5.....17,26,50,23,0,0,4,0,2,2,Expert,
.3..5.2......83.4.6..2....9..1.6452.2....8.9.4..9....11....5...546........2...4..,27,41,13,0,0,0,0,0,0,Easy,
....39...15..278.9...5..............2178..6..698..21....51....8.6.......98....53.,27,74,9,4,4,1,2,5,4,Expert,